,0
830,2957
831,2958
832,2961
833,2966
834,2969
835,2970
836,2977
837,2982
838,2987
839,2988
840,2993
841,2995
842,2996
843,2999
844,3003
845,3006
846,3012
847,3013
848,3015
849,3016
850,3018
851,3021
852,3024
853,3025
854,3028
855,3032
856,3037
857,3040
858,3042
859,3043
860,3044
861,3048
862,3052
863,3053
864,3061
865,3066
866,3068
867,3072
868,3073
869,3086
870,3089
871,3094
872,3101
873,3102
874,3104
875,3106
876,3111
877,3112
878,3113
879,3121
880,3132
881,3133
882,3135
883,3140
884,3149
885,3153
886,3155
887,3156
888,3158
889,3168
890,3173
891,3186
892,3190
893,3193
894,3203
895,3204
896,3206
897,3208
898,3211
899,3212
900,3216
901,3218
902,3223
903,3224
904,3236
905,3239
906,3251
907,3257
908,3259
909,3262
910,3264
911,3267
912,3275
913,3281
914,3290
915,3293
916,3294
917,3297
918,3298
919,3299
920,3302
921,3303
922,3308
923,3310
924,3311
925,3313
926,3314
927,3317
928,3332
929,3335
930,3336
931,3337
932,3341
933,3344
934,3347
935,3349
936,3352
937,3354
938,3356
939,3367
940,3369
941,3373
942,3375
943,3377
944,3378
945,3382
946,3387
947,3389
948,3390
949,3392
950,3394
951,3396
952,3399
953,3404
954,3407
955,3409
956,3410
957,3413
958,3415
959,3419
960,3423
961,3426
962,3431
963,3432
964,3439
965,3440
966,3441
967,3442
968,3449
969,3452
970,3455
971,3468
972,3469
973,3472
974,3477
975,3479
976,3481
977,3486
978,3492
979,3495
980,3499
981,3500
982,3506
983,3508
984,3510
985,3516
986,3519
987,3520
988,3529
989,3530
990,3533
991,3537
992,3538
993,3539
994,3541
995,3542
996,3543
997,3547
998,3554
999,3555
1000,3556
1001,3557
1002,3558
1003,3560
1004,3561
1005,3564
1006,3566
1007,3570
1008,3572
1009,3575
1010,3581
1011,3583
1012,3585
1013,3591
1014,3592
1015,3594
1016,3596
1017,3598
1018,3603
1019,3604
1020,3612
1021,3622
1022,3625
1023,3630
1024,3634
1025,3635
1026,3637
1027,3639
1028,3641
1029,3647
1030,3652
1031,3656
1032,3664
1033,3666
1034,3671
1035,3684
1036,3685
1037,3689
1038,3690
1039,3692
1040,3693
1041,3696
1042,3702
1043,3703
1044,3707
1045,3708
1046,3710
1047,3711
1048,3712
1049,3717
1050,3730
1051,3734
1052,3736
1053,3737
1054,3738
1055,3742
1056,3743
1057,3745
1058,3750
1059,3751
1060,3760
1061,3761
1062,3770
1063,3771
1064,3777
1065,3781
1066,3785
1067,3787
1068,3793
1069,3795
1070,3801
1071,3803
1072,3815
1073,3818
1074,3822
1075,3823
1076,3833
1077,3834
1078,3836
1079,3839
1080,3840
1081,3842
1082,3850
1083,3852
1084,3854
1085,3855
1086,3856
1087,3861
1088,3865
1089,3867
1090,3873
1091,3874
1092,3876
1093,3886
1094,3887
1095,3889
1096,3890
1097,3892
1098,3894
1099,3901
1100,3902
1101,3904
1102,3906
1103,3913
1104,3914
1105,3917
1106,3918
1107,3920
1108,3921
1109,3924
1110,3925
1111,3931
1112,3933
1113,3934
1114,3936
1115,3939
1116,3945
1117,3948
1118,3950
1119,3951
1120,3967
1121,3971
1122,3972
1123,3974
1124,3975
1125,3976
1126,3980
1127,3987
1128,3992
1129,3996
1130,3997
1131,4000
1132,4003
1133,4012
1134,4014
1135,4015
1136,4016
1137,4017
1138,4023
1139,4026
1140,4028
1141,4029
1142,4032
1143,4038
1144,4044
1145,4047
1146,4053
1147,4055
1148,4057
1149,4062
1150,4070
1151,4077
1152,4085
1153,4087
1154,4088
1155,4090
1156,4091
1157,4099
1158,4109
1159,4110
1160,4111
1161,4114
1162,4116
1163,4117
1164,4120
1165,4123
1166,4128
1167,4129
1168,4137
1169,4140
1170,4141
1171,4152
1172,4157
1173,4163
1174,4165
1175,4167
1176,4168
1177,4170
1178,4171
1179,4173
1180,4174
1181,4178
1182,4186
1183,4189
1184,4190
1185,4196
1186,4199
1187,4200
1188,4203
1189,4205
1190,4215
1191,4216
1192,4219
1193,4223
1194,4224
1195,4227
1196,4228
1197,4229
1198,4230
1199,4232
1200,4240
1201,4241
1202,4245
1203,4250
1204,4252
1205,4254
1206,4256
1207,4257
1208,4258
1209,4265
1210,4266
1211,4267
1212,4268
1213,4270
1214,4273
1215,4276
1216,4277
1217,4284
1218,4285
1219,4289
1220,4292
1221,4294
1222,4295
1223,4296
1224,4298
1225,4301
1226,4304
1227,4305
1228,4308
1229,4309
1230,4311
1231,4318
1232,4319
1233,4322
1234,4325
1235,4330
1236,4332
1237,4333
1238,4334
1239,4340
1240,4341
1241,4345
1242,4352
1243,4366
1244,4379
1245,4383
1246,4385
1247,4389
1248,4393
1249,4394
1250,4396
1251,4406
1252,4409
1253,4410
1254,4411
1255,4412
1256,4415
1257,4417
1258,4420
1259,4428
1260,4432
1261,4436
1262,4437
1263,4443
1264,4449
1265,4450
1266,4460
1267,4461
1268,4462
1269,4465
1270,4474
1271,4476
1272,4477
1273,4478
1274,4479
1275,4480
1276,4484
1277,4488
1278,4490
1279,4492
1280,4493
1281,4495
1282,4496
1283,4497
1284,4499
1285,4500
1286,4501
1287,4506
1288,4508
1289,4511
1290,4512
1291,4514
1292,4515
1293,4520
1294,4527
1295,4529
1296,4535
1297,4541
1298,4544
1299,4545
1300,4552
1301,4554
1302,4555
1303,4557
1304,4561
1305,4563
1306,4570
1307,4575
1308,4576
1309,4577
1310,4579
1311,4580
1312,4582
1313,4584
1314,4588
1315,4590
1316,4592
1317,4597
1318,4598
1319,4600
1320,4611
1321,4612
1322,4614
1323,4615
1324,4617
1325,4618
1326,4622
1327,4623
1328,4624
1329,4627
1330,4635
1331,4638
1332,4641
1333,4642
1334,4648
1335,4649
1336,4650
1337,4658
1338,4661
1339,4662
1340,4667
1341,4668
1342,4671
1343,4675
1344,4677
1345,4682
1346,4683
1347,4701
1348,4706
1349,4715
1350,4720
1351,4723
1352,4728
1353,4729
1354,4730
1355,4731
1356,4732
1357,4734
1358,4750
1359,4756
1360,4759
1361,4760
1362,4763
1363,4765
1364,4772
1365,4774
1366,4777
1367,4778
1368,4782
1369,4783
1370,4786
1371,4789
1372,4794
1373,4795
1374,4806
1375,4808
1376,4815
1377,4816
1378,4820
1379,4822
1380,4826
1381,4830
1382,4831
1383,4839
1384,4842
1385,4846
1386,4849
1387,4854
1388,4860
1389,4861
1390,4864
1391,4865
1392,4873
1393,4875
1394,4878
1395,4880
1396,4886
1397,4888
1398,4892
1399,4895
1400,4912
1401,4918
1402,4928
1403,4929
1404,4935
1405,4939
1406,4947
1407,4948
1408,4950
1409,4951
1410,4958
1411,4961
1412,4969
1413,4974
1414,4980
1415,4989
1416,4994
1417,4995
1418,4998
1419,5000
1420,5001
1421,5002
1422,5006
1423,5007
1424,5009
1425,5011
1426,5017
1427,5029
1428,5031
1429,5033
1430,5038
1431,5040
1432,5047
1433,5053
1434,5056
1435,5063
1436,5067
1437,5072
1438,5075
1439,5077
1440,5079
1441,5092
1442,5096
1443,5097
1444,5101
1445,5103
1446,5104
1447,5108
1448,5117
1449,5118
1450,5119
1451,5121
1452,5127
1453,5129
1454,5131
1455,5134
1456,5135
1457,5137
1458,5148
1459,5149
1460,5151
1461,5155
1462,5157
1463,5162
1464,5163
1465,5166
1466,5167
1467,5169
1468,5173
1469,5177
1470,5179
1471,5182
1472,5187
1473,5195
1474,5196
1475,5199
1476,5201
1477,5202
1478,5203
1479,5208
1480,5214
1481,5219
1482,5221
1483,5224
1484,5231
1485,5239
1486,5240
1487,5241
1488,5243
1489,5255
1490,5259
1491,5261
1492,5267
1493,5268
1494,5272
1495,5273
1496,5274
1497,5276
1498,5277
1499,5281
1500,5283
1501,5284
1502,5287
1503,5292
1504,5295
1505,5298
1506,5299
1507,5300
1508,5302
1509,5303
1510,5304
1511,5309
1512,5311
1513,5316
1514,5318
1515,5326
1516,5328
1517,5331
1518,5332
1519,5339
1520,5343
1521,5351
1522,5353
1523,5354
1524,5357
1525,5358
1526,5362
1527,5364
1528,5365
1529,5366
1530,5369
1531,5372
1532,5373
1533,5381
1534,5387
1535,5390
1536,5393
1537,5395
1538,5396
1539,5397
1540,5402
1541,5405
1542,5409
1543,5414
1544,5423
1545,5427
1546,5429
1547,5431
1548,5433
1549,5438
1550,5440
1551,5443
1552,5450
1553,5451
1554,5457
1555,5463
1556,5464
1557,5469
1558,5472
1559,5474
1560,5475
1561,5476
1562,5479
1563,5480
1564,5489
1565,5491
1566,5494
1567,5496
1568,5499
1569,5500
1570,5503
1571,5510
1572,5513
1573,5514
1574,5518
1575,5522
1576,5527
1577,5529
1578,5532
1579,5550
1580,5551
1581,5555
1582,5557
1583,5559
1584,5563
1585,5565
1586,5568
1587,5570
1588,5574
1589,5577
1590,5580
1591,5581
1592,5582
1593,5586
1594,5592
1595,5596
1596,5599
1597,5603
1598,5606
1599,5608
1600,5617
1601,5619
1602,5621
1603,5622
1604,5623
1605,5627
1606,5631
1607,5632
1608,5635
1609,5654
1610,5656
1611,5658
1612,5659
1613,5660
1614,5665
1615,5669
1616,5673
1617,5677
1618,5680
1619,5686
1620,5692
1621,5695
1622,5696
1623,5697
1624,5703
1625,5704
1626,5708
1627,5714
1628,5716
1629,5721
1630,5722
1631,5733
1632,5734
1633,5737
1634,5740
1635,5748
1636,5749
1637,5753
1638,5754
1639,5759
1640,5775
1641,5777
1642,5780
1643,5782
1644,5784
1645,5786
1646,5788
1647,5789
1648,5792
1649,5793
1650,5796
1651,5797
1652,5798
1653,5801
1654,5805
1655,5806
1656,5810
1657,5814
1658,5821
1659,5827
1660,5828
1661,5830
1662,5831
1663,5832
1664,5837
1665,5838
1666,5841
1667,5842
1668,5845
1669,5847
1670,5851
1671,5854
1672,5857
1673,5858
1674,5864
1675,5868
1676,5869
1677,5871
1678,5875
1679,5876
1680,5881
1681,5882
1682,5884
1683,5885
1684,5886
1685,5887
1686,5888
1687,5890
1688,5891
1689,5896
1690,5897
1691,5899
1692,5906
1693,5907
1694,5909
1695,5911
1696,5921
1697,5924
1698,5932
1699,5939
1700,5942
1701,5945
1702,5947
1703,5954
1704,5955
1705,5957
1706,5958
1707,5969
1708,5970
1709,5977
1710,5980
1711,5982
1712,5983
1713,5986
1714,5988
1715,5990
1716,5993
1717,5995
1718,5998
1719,6000
1720,6001
1721,6002
1722,6003
1723,6005
1724,6009
1725,6011
1726,6015
1727,6019
1728,6020
1729,6022
1730,6024
1731,6027
1732,6029
1733,6036
1734,6037
1735,6039
1736,6043
1737,6047
1738,6050
1739,6052
1740,6053
1741,6064
1742,6065
1743,6067
1744,6071
1745,6072
1746,6073
1747,6074
1748,6075
1749,6076
1750,6077
1751,6081
1752,6087
1753,6088
1754,6091
1755,6095
1756,6097
1757,6099
1758,6106
1759,6115
1760,6117
1761,6119
1762,6128
1763,6131
1764,6132
1765,6136
1766,6138
1767,6139
1768,6140
1769,6145
1770,6151
1771,6155
1772,6156
1773,6157
1774,6160
1775,6172
1776,6174
1777,6176
1778,6180
1779,6183
1780,6193
1781,6195
1782,6202
1783,6205
1784,6209
1785,6215
1786,6217
1787,6221
1788,6223
1789,6224
1790,6226
1791,6230
1792,6236
1793,6238
1794,6240
1795,6244
1796,6245
1797,6248
1798,6252
1799,6261
1800,6262
1801,6263
1802,6266
1803,6274
1804,6279
1805,6280
1806,6281
1807,6286
1808,6288
1809,6290
1810,6291
1811,6292
1812,6295
1813,6296
1814,6298
1815,6300
1816,6306
1817,6308
1818,6309
1819,6311
1820,6313
1821,6314
1822,6316
1823,6317
1824,6318
1825,6320
1826,6321
1827,6323
1828,6330
1829,6331
1830,6333
1831,6335
1832,6336
1833,6337
1834,6340
1835,6350
1836,6353
1837,6366
1838,6367
1839,6370
1840,6372
1841,6374
1842,6376
1843,6382
1844,6383
1845,6384
1846,6385
1847,6390
1848,6401
1849,6410
1850,6413
1851,6414
1852,6415
1853,6416
1854,6417
1855,6419
1856,6422
1857,6424
1858,6430
1859,6431
1860,6432
1861,6433
1862,6435
1863,6438
1864,6440
1865,6442
1866,6444
1867,6445
1868,6447
1869,6450
1870,6452
1871,6454
1872,6460
1873,6462
1874,6467
1875,6471
1876,6475
1877,6476
1878,6477
1879,6482
1880,6485
1881,6491
1882,6492
1883,6493
1884,6500
1885,6501
1886,6502
1887,6503
1888,6505
1889,6509
1890,6514
1891,6516
1892,6527
1893,6528
1894,6538
1895,6549
1896,6557
1897,6566
1898,6567
1899,6568
1900,6577
1901,6582
1902,6583
1903,6593
1904,6599
1905,6607
1906,6610
1907,6614
1908,6616
1909,6619
1910,6621
1911,6622
1912,6627
1913,6629
1914,6630
1915,6632
1916,6641
1917,6646
1918,6648
1919,6653
1920,6655
1921,6656
1922,6657
1923,6663
1924,6671
1925,6672
1926,6680
1927,6682
1928,6685
1929,6686
1930,6693
1931,6695
1932,6697
1933,6704
1934,6707
1935,6709
1936,6722
1937,6723
1938,6726
1939,6727
1940,6730
1941,6734
1942,6737
1943,6739
1944,6741
1945,6746
1946,6751
1947,6754
1948,6755
1949,6756
1950,6757
1951,6759
1952,6773
1953,6781
1954,6783
1955,6784
1956,6786
1957,6788
1958,6789
1959,6790
1960,6792
1961,6795
1962,6796
1963,6802
1964,6804
1965,6807
1966,6810
1967,6811
1968,6812
